player,position,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury
Marcus Peters,CB,Not injury related - resting player,Knee,Questionable,Not injury related - resting player,Knee
Mike Woods,WR,Hamstring,Illness,Questionable,Hamstring,Illness
Randy Gregory,DE,Shoulder,Knee,Questionable,Shoulder,Knee
K.J. Hamler,WR,Knee,Hip,Questionable,Knee,Hip
Elgton Jenkins,G,Pectoral,Knee,Questionable,Pectoral,Knee
Damien Lewis,G,Knee,Ankle,Questionable,Knee,Ankle
Christopher Hubbard,T,Elbow,Illness,Out,Elbow,Illness
K.J. Hamler,WR,Knee,Hip,Out,Knee,Hip
Frank Ragnow,C,Groin,Foot,Out,Groin,Foot
Jerry Jeudy,WR,Rib,Shoulder,Questionable,Rib,Shoulder
Josey Jewell,LB,Calf,Knee,Questionable,Calf,Knee
Cedrick Wilson,WR,Ribs,Toe,Questionable,Ribs,Toe
Jameis Winston,QB,Back,Ankle,Questionable,Back,Ankle
John Franklin-Myers,DE,Toe,Quadricep,Questionable,Toe,Quadricep
Shelby Harris,DE,Glute,Not injury related - personal matter,Out,Glute,Not injury related - personal 
J.J. Watt,DE,Calf,Illness,Questionable,Calf,Illness
Ronnie Stanley,T,Ankle,Not injury related - resting player,Questionable,Ankle,Not injury related - resting p
Dawson Knox,TE,Back,Hip,Questionable,Back,Hip
David Montgomery,RB,Ankle,Knee,Out,Ankle,Knee
Myles Garrett,DE,Shoulder,Biceps,Questionable,Shoulder,Biceps
D'Andre Swift,RB,Shoulder,Ankle,Out,Shoulder,Ankle
Pharaoh Brown,TE,Shoulder,Hip,Questionable,Shoulder,Hip
Corey Linsley,C,Knee,Not injury related - resting player,Questionable,Knee,Not injury related - resting p
Xavien Howard,CB,Groin,Glute,Questionable,Groin,Glute
Tua Tagovailoa,QB,Back,Ankle,Questionable,Back,Ankle
Jameis Winston,QB,Back,Ankle,Doubtful,Back,Ankle
Breshad Perriman,WR,Knee,Hamstring,Doubtful,Knee,Hamstring
Russell Gage,WR,Hamstring,Not injury related - resting player,Questionable,Hamstring,Not injury related - resting p
Julio Jones,WR,Knee,Not injury related - resting player,Questionable,Knee,Not injury related - resting p
Chris Godwin,WR,Hamstring,Not injury related - resting player,Questionable,Hamstring,Not injury related - resting p
Dawson Knox,TE,Foot,Hamstring,Out,Foot,Hamstring
Quinton Bohanna,DT,Neck,Shoulder,Questionable,Neck,Shoulder
Shaquille Leonard,LB,Concussion,"nose, back",Out,Concussion,"nose, back"
JuJu Smith-Schuster,WR,Quadricep,Hamstring,Questionable,Quadricep,Hamstring
Tua Tagovailoa,QB,Concussion,"Back, Ankle",Out,Concussion,"Back, Ankle"
Keion Crossen,CB,Glute,Shoulder,Questionable,Glute,Shoulder
Xavien Howard,CB,Groin,Groin,Questionable,Groin,Groin
Cameron Sutton,CB,Groin,Hamstring,Questionable,Groin,Hamstring
Marquise Goodwin,WR,Knee,Back,Questionable,Knee,Back
Arik Armstead,DE,Foot,Ankle,Out,Foot,Ankle
